NUNOA	22.622382016196593
RENCA	37.622895622895626
CONCHALI	24.575913882036332
LO PRADO	22.478939157566302
RECOLETA	24.396830944891065
VITACURA	40.40921052631579
CERRILLOS	34.189840944073886
LO ESPEJO	36.40108401084011
QUILICURA	38.0253125
SAN RAMON	32.46333333333333
SAN MIGUEL	23.476965282376312
PUENTE ALTO	33.366137010942886
SAN JOAQUIN	25.169082125603865
SAN BERNARDO	34.560133630289535
INDEPENDENCIA	22.528449858167864
QUINTA NORMAL	28.90198823858863
ESTACION CENTRAL	22.88449803149606
	30.471862871927556
MACUL	26.13823305407464
MAIPU	30.274491465980827
LA REINA	27.170353745858716
PUDAHUEL	29.373768697555636
SANTIAGO	21.652017333065608
EL BOSQUE	35.24284717376134
LA GRANJA	29.193478260869565
PENALOLEN	33.59380692167577
HUECHURABA	37.94685767097967
LA FLORIDA	25.337567719036056
LA PINTANA	42.731948565776456
LAS CONDES	27.215735516719416
CERRO NAVIA	35.010864197530864
LA CISTERNA	25.70271169522542
PROVIDENCIA	21.188878779962707
LO BARNECHEA	51.637630662020904
PEDRO AGUIRRE CERDA	29.705653021442494
